Channel Text File,,,,,,,,,,,,,,,,,,,,,,
Prj,,,,,,,,,,,,,,,,,,,,,,
Author,,,,,,,,,,,,,,,,,,,,,,
JobMode,Grid,,,,,,,,,,,,,,,,,,,,,
XCells,220,,,,,,,,,,,,,,,,,,,,,
YCells,220,,,,,,,,,,,,,,,,,,,,,
XStep,0.2,,,,,,,,,,,,,,,,,,,,,
YStep,0.2,,,,,,,,,,,,,,,,,,,,,
AcqE1,0,,,,,,,,,,,,,,,,,,,,,
AcqE2,0,,,,,,,,,,,,,,,,,,,,,
AcqE3,0,,,,,,,,,,,,,,,,,,,,,
Euler angles refer to Sample Coordinate system (CS0)!,Mag,2500,Coverage,49,Device,0,KV,15,TiltAngle,70,TiltAxis,0,DetectorOrientationE1,358.9641,DetectorOrientationE2,95.5515,DetectorOrientationE3,358.4895,WorkingDistance,24.6958,InsertionDistance,178.5
Phases,2,,,,,,,,,,,,,,,,,,,,,
2.950;2.950;4.681,90.000;90.000;120.000,Titanium-Hexagonal,9,194,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
3.311;3.311;3.311,90.000;90.000;90.000,Titanium-Cubic,11,229,,,"Z. Metallkd. [ZEMTAE], _ 59, _____ 377",,,,,,,,,,,,,,,
Phase,X,Y,Bands,Error,Euler1,Euler2,Euler3,MAD,BC,BS,,,,,,,,,,,,
0,3.8,0.2,0,3,0,0,0,0,115,255,,,,,,,,,,,,
0,4,0.2,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,4.2,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,4.4,0.2,0,3,0,0,0,0,112,255,,,,,,,,,,,,
0,4.6,0.2,0,3,0,0,0,0,130,255,,,,,,,,,,,,
0,4.8,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,5,0.2,0,3,0,0,0,0,124,255,,,,,,,,,,,,
0,5.2,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,5.4,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,5.6,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,5.8,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,6,0.2,0,3,0,0,0,0,124,255,,,,,,,,,,,,
0,6.2,0.2,0,3,0,0,0,0,116,255,,,,,,,,,,,,
1,6.4,0.2,6,0,37.4582,88.8996,32.6747,0.9949,126,255,,,,,,,,,,,,
0,6.6,0.2,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,6.8,0.2,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,7,0.2,0,3,0,0,0,0,129,255,,,,,,,,,,,,
0,7.2,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,7.4,0.2,0,3,0,0,0,0,125,255,,,,,,,,,,,,
0,7.6,0.2,0,3,0,0,0,0,129,255,,,,,,,,,,,,
0,7.8,0.2,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,8,0.2,0,3,0,0,0,0,121,255,,,,,,,,,,,,
0,8.2,0.2,0,3,0,0,0,0,121,255,,,,,,,,,,,,
0,8.4,0.2,0,3,0,0,0,0,120,255,,,,,,,,,,,,
0,8.6,0.2,0,3,0,0,0,0,123,255,,,,,,,,,,,,
1,8.8,0.2,6,0,3.4022,78.5474,23.6921,1.1458,128,255,,,,,,,,,,,,
0,9,0.2,0,3,0,0,0,0,131,255,,,,,,,,,,,,
0,9.2,0.2,0,3,0,0,0,0,130,255,,,,,,,,,,,,
0,9.4,0.2,0,3,0,0,0,0,125,255,,,,,,,,,,,,
0,9.6,0.2,0,3,0,0,0,0,125,255,,,,,,,,,,,,
0,9.8,0.2,0,3,0,0,0,0,127,255,,,,,,,,,,,,
0,10,0.2,0,3,0,0,0,0,126,255,,,,,,,,,,,,
0,10.2,0.2,0,3,0,0,0,0,113,255,,,,,,,,,,,,
0,10.4,0.2,0,3,0,0,0,0,126,255,,,,,,,,,,,,
0,10.6,0.2,0,3,0,0,0,0,129,255,,,,,,,,,,,,
0,10.8,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,11,0.2,0,3,0,0,0,0,124,255,,,,,,,,,,,,
0,11.2,0.2,0,3,0,0,0,0,123,255,,,,,,,,,,,,
0,11.4,0.2,0,3,0,0,0,0,119,255,,,,,,,,,,,,
0,11.6,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
1,11.8,0.2,6,0,127.8762,98.9848,29.2364,1.7956,127,255,,,,,,,,,,,,
0,12,0.2,0,3,0,0,0,0,122,255,,,,,,,,,,,,
0,12.2,0.2,0,3,0,0,0,0,131,255,,,,,,,,,,,,
0,12.4,0.2,0,3,0,0,0,0,121,255,,,,,,,,,,,,
0,12.6,0.2,0,3,0,0,0,0,117,255,,,,,,,,,,,,
0,12.8,0.2,0,3,0,0,0,0,122,255,,,,,,,,,,,,
